cycle,encoder_error_cw,encoder_error_ccw
1,0,4
2,7.0,-2.0
3,-1.0,-8.0
4,-7.0,-14.0
5,-8.0,-15.0
6,-8.0,-14.0
7,-9.0,-16.0
8,-7.0,-14.0
9,-14.0,-20.0
10,-19.0,-26.0
11,-18.0,-27.0
12,-18.0,-28.0
13,-26.0,-34.0
14,-25.0,-35.0
