cycle,encoder_error_cw,encoder_error_ccw
1,0,5
2,9.0,5.0
3,7.0,-1.0
4,0.0,-9.0
5,-5.0,-13.0
6,-12.0,-21.0
7,-17.0,-27.0
8,-24.0,-33.0
9,-28.0,-34.0
10,-29.0,-34.0
11,-30.0,-39.0
12,-29.0,-39.0
13,-30.0,-33.0
14,-25.0,-34.0
15,-29.0,-40.0
16,-39.0,-46.0
17,-44.0,-51.0
18,-47.0,-52.0
19,-49.0,-52.0
20,-48.0,-58.0
21,-52.0,-58.0
22,-52.0,-58.0
23,-52.0,-63.0
24,-54.0,-63.0
25,-54.0,-63.0
26,-54.0,-70.0
27,-54.0,-64.0
28,-54.0,-59.0
29,-52.0,-59.0
30,-52.0,-64.0
31,-57.0,-71.0
32,-59.0,-78.0
33,-61.0,-80.0
34,-60.0,-78.0
35,-62.0,-82.0
36,-60.0,-76.0
37,-57.0,-69.0
38,-54.0,-69.0
39,-57.0,-75.0
40,-60.0,-75.0
41,-56.0,-75.0
42,-62.0,-83.0
43,-66.0,-82.0
44,-72.0,-86.0
45,-72.0,-86.0
46,-72.0,-86.0
47,-73.0,-86.0
48,-73.0,-87.0
49,-72.0,-86.0
50,-72.0,-86.0
51,-71.0,-86.0
52,-73.0,-86.0
53,-71.0,-86.0
54,-73.0,-86.0
55,-73.0,-86.0
56,-74.0,-86.0
57,-67.0,-82.0
58,-67.0,-84.0
59,-60.0,-76.0
60,-60.0,-75.0
61,-61.0,-82.0
62,-67.0,-86.0
63,-74.0,-88.0
64,-80.0,-90.0
65,-84.0,-91.0
66,-84.0,-91.0
67,-83.0,-91.0
68,-84.0,-91.0
69,-83.0,-91.0
70,-84.0,-92.0
71,-84.0,-91.0
72,-83.0,-91.0
73,-84.0,-91.0
74,-84.0,-90.0
75,-84.0,-91.0
76,-84.0,-92.0
77,-84.0,-92.0
78,-84.0,-91.0
79,-85.0,-92.0
80,-85.0,-91.0
81,-84.0,-91.0
82,-85.0,-91.0
83,-85.0,-91.0
84,-85.0,-92.0
85,-85.0,-95.0
86,-96.0,-101.0
87,-103.0,-108.0
88,-103.0,-109.0
89,-103.0,-108.0
90,-103.0,-114.0
91,-108.0,-114.0
92,-108.0,-114.0
93,-110.0,-118.0
94,-115.0,-120.0
95,-114.0,-119.0
96,-116.0,-120.0
97,-113.0,-120.0
98,-113.0,-119.0
99,-114.0,-119.0
100,-114.0,-123.0
101,-119.0,-123.0
102,-117.0,-125.0
103,-124.0,-126.0
104,-127.0,-132.0
105,-127.0,-131.0
106,-127.0,-133.0
107,-130.0,-132.0
108,-127.0,-133.0
109,-127.0,-133.0
110,-133.0,-140.0
111,-133.0,-140.0
112,-137.0,-139.0
113,-133.0,-140.0
114,-141.0,-139.0
115,-141.0,-145.0
116,-139.0,-144.0
117,-141.0,-139.0
118,-135.0,-140.0
119,-135.0,-138.0
120,-133.0,-139.0
121,-132.0,-137.0
122,-134.0,-138.0
123,-134.0,-139.0
124,-132.0,-138.0
125,-133.0,-138.0
126,-133.0,-137.0
127,-130.0,-137.0
128,-135.0,-137.0
129,-130.0,-137.0
130,-131.0,-135.0
131,-132.0,-137.0
132,-132.0,-139.0
133,-140.0,-143.0
134,-140.0,-143.0
135,-143.0,-144.0
136,-143.0,-140.0
137,-138.0,-140.0
138,-136.0,-139.0
139,-138.0,-141.0
140,-139.0,-144.0
141,-145.0,-145.0
142,-144.0,-144.0
143,-140.0,-139.0
144,-140.0,-143.0
145,-139.0,-138.0
146,-137.0,-143.0
147,-140.0,-144.0
148,-138.0,-144.0
149,-140.0,-138.0
150,-136.0,-138.0
151,-132.0,-139.0
152,-133.0,-139.0
153,-131.0,-131.0
154,-124.0,-125.0
155,-120.0,-125.0
156,-120.0,-126.0
157,-120.0,-126.0
158,-119.0,-125.0
159,-118.0,-124.0
160,-118.0,-125.0
161,-119.0,-126.0
162,-119.0,-125.0
163,-120.0,-126.0
164,-119.0,-126.0
165,-120.0,-125.0
166,-120.0,-125.0
167,-119.0,-125.0
168,-119.0,-126.0
169,-120.0,-126.0
170,-124.0,-126.0
171,-120.0,-126.0
172,-119.0,-126.0
173,-119.0,-125.0
174,-120.0,-125.0
175,-120.0,-126.0
176,-119.0,-126.0
177,-119.0,-126.0
178,-125.0,-125.0
179,-120.0,-126.0
180,-126.0,-130.0
181,-124.0,-125.0
182,-119.0,-125.0
183,-124.0,-131.0
184,-125.0,-129.0
185,-125.0,-128.0
186,-126.0,-130.0
187,-129.0,-131.0
188,-131.0,-137.0
189,-131.0,-136.0
190,-131.0,-137.0
191,-131.0,-137.0
192,-129.0,-137.0
193,-131.0,-137.0
194,-133.0,-138.0
195,-133.0,-137.0
196,-133.0,-138.0
197,-133.0,-138.0
198,-134.0,-134.0
199,-133.0,-139.0
200,-134.0,-137.0
201,-132.0,-137.0
202,-133.0,-138.0
203,-133.0,-139.0
204,-140.0,-142.0
205,-140.0,-142.0
206,-140.0,-143.0
207,-137.0,-137.0
208,-131.0,-137.0
209,-131.0,-138.0
210,-136.0,-140.0
211,-140.0,-144.0
212,-140.0,-145.0
213,-145.0,-143.0
214,-139.0,-139.0
215,-139.0,-138.0
216,-140.0,-145.0
217,-146.0,-143.0
218,-140.0,-141.0
219,-139.0,-144.0
220,-144.0,-144.0
221,-144.0,-145.0
222,-142.0,-144.0
223,-144.0,-142.0
224,-139.0,-142.0
225,-140.0,-144.0
226,-140.0,-143.0
227,-139.0,-138.0
228,-131.0,-138.0
229,-132.0,-139.0
230,-140.0,-140.0
231,-140.0,-144.0
232,-139.0,-139.0
233,-139.0,-139.0
234,-139.0,-139.0
235,-139.0,-140.0
236,-140.0,-145.0
237,-148.0,-148.0
238,-144.0,-140.0
239,-137.0,-140.0
240,-137.0,-136.0
241,-132.0,-136.0
242,-136.0,-142.0
243,-138.0,-138.0
244,-131.0,-132.0
245,-131.0,-137.0
246,-132.0,-138.0
247,-133.0,-134.0
248,-131.0,-131.0
249,-130.0,-131.0
250,-125.0,-130.0
251,-125.0,-132.0
252,-128.0,-130.0
253,-125.0,-131.0
254,-125.0,-131.0
255,-124.0,-126.0
256,-124.0,-126.0
257,-124.0,-131.0
258,-124.0,-131.0
259,-124.0,-132.0
260,-131.0,-131.0
261,-128.0,-131.0
262,-129.0,-136.0
263,-129.0,-131.0
264,-129.0,-131.0
265,-126.0,-131.0
266,-127.0,-131.0
267,-127.0,-130.0
268,-128.0,-130.0
269,-130.0,-132.0
270,-129.0,-131.0
271,-126.0,-132.0
272,-126.0,-132.0
273,-131.0,-131.0
274,-125.0,-132.0
275,-126.0,-132.0
276,-132.0,-139.0
277,-138.0,-139.0
278,-138.0,-138.0
279,-131.0,-131.0
280,-126.0,-131.0
