step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,cycle,direction,theta,alpha,angle_error,ideal_tmp,actual_tmp,IND
0,8:41:49,0,10328,16186,16259,10373,1,CW,0,-0.100316867,-0.100316867,,,0
1,8:41:49,614,10032,15878,16542,10686,1,CW,5.526,5.558606051,0.032606051,,,1
2,8:41:50,632,9776,15527,16808,11026,1,CW,11.214,11.32555132,0.111551322,,,2
3,8:41:50,624,9556,15163,17041,11392,1,CW,16.83,17.0432672,0.213267202,,,3
4,8:41:50,639,9356,14780,17231,11786,1,CW,22.581,22.82393501,0.242935009,,,4
5,8:41:50,613,9205,14391,17375,12165,1,CW,28.098,28.29265737,0.194657372,,,5
6,8:41:51,634,9096,13970,17486,12566,1,CW,33.804,33.95549979,0.151499787,,,6
7,8:41:51,625,9030,13566,17555,12981,1,CW,39.429,39.48791042,0.05891042,,,7
8,8:41:51,622,8998,13150,17571,13390,1,CW,45.027,45.00998467,-0.017015332,,,8
9,8:41:52,611,9020,12751,17561,13791,1,CW,50.526,50.375079,-0.150921,,,9
10,8:41:52,621,9078,12341,17503,14194,1,CW,56.115,55.8962461,-0.218753899,,,10
11,8:41:52,626,9178,11945,17398,14607,1,CW,61.749,61.52821748,-0.220782523,,,11
12,8:41:52,628,9326,11560,17262,14996,1,CW,67.401,67.11328879,-0.287711207,,,12
13,8:41:53,631,9512,11176,17078,15367,1,CW,73.08,72.83011145,-0.249888552,,,13
14,8:41:53,613,9725,10831,16860,15722,1,CW,78.597,78.43632111,-0.160678892,23.103,22.705,14
15,8:41:53,630,9970,10498,16597,16051,1,CW,84.267,84.13976521,-0.127234787,23.103,22.705,15
16,8:41:54,617,10260,10194,16324,16358,1,CW,89.82,89.8246617,0.004661696,23.103,22.705,16
17,8:41:54,617,10572,9920,16021,16636,1,CW,95.373,95.47620851,0.103208514,22.93971667,22.70416667,17
18,8:41:54,621,10902,9672,15671,16885,1,CW,100.962,101.2270888,0.265088838,22.93971667,22.70416667,18
19,8:41:55,617,11255,9468,15321,17095,1,CW,106.515,106.7839551,0.268955105,22.93971667,22.70416667,19
20,8:41:55,635,11642,9289,14947,17271,1,CW,112.23,112.4848025,0.254802549,22.77643333,22.70333333,20
21,8:41:55,617,12027,9156,14552,17413,1,CW,117.783,118.0762492,0.293249219,22.77643333,22.70333333,21
22,8:41:55,634,12437,9065,14148,17520,1,CW,123.489,123.7136851,0.224685121,22.77643333,22.70333333,22
23,8:41:56,616,12850,9013,13753,17571,1,CW,129.033,129.1707201,0.137720091,22.77643333,22.70333333,23
24,8:41:56,611,13253,9002,13339,17577,1,CW,134.532,134.6269124,0.094912405,22.61315,22.7025,24
25,8:41:56,618,13654,9037,12926,17552,1,CW,140.094,140.0627917,-0.03120833,22.61315,22.7025,25
26,8:41:57,623,14071,9114,12521,17486,1,CW,145.701,145.6060714,-0.094928587,22.61315,22.7025,26
27,8:41:57,626,14477,9224,12111,17358,1,CW,151.335,151.2432088,-0.091791194,22.44986667,22.70166667,27
28,8:41:57,616,14862,9382,11721,17214,1,CW,156.879,156.7593505,-0.119649497,22.44986667,22.70166667,28
29,8:41:57,628,15241,9582,11334,17020,1,CW,162.531,162.4709313,-0.060068726,22.44986667,22.70166667,29
30,8:41:58,625,15616,9814,10980,16794,1,CW,168.156,168.1844793,0.02847933,22.44986667,22.70166667,30
31,8:41:58,630,15959,10075,10633,16530,1,CW,173.826,173.939675,0.113674976,22.28658333,22.70083333,31
32,8:41:58,609,16268,10367,10315,16247,1,CW,179.307,179.5869615,0.279961524,22.28658333,22.70083333,32
33,8:41:59,618,16559,10687,10039,15939,1,CW,184.869,185.2051984,0.336198357,22.28658333,22.70083333,33
34,8:41:59,627,16819,11023,9771,15581,1,CW,190.512,190.9958643,0.483864274,22.1233,22.7,34
35,8:41:59,625,17045,11393,9546,15231,1,CW,196.137,196.6352832,0.498283174,22.1233,22.7,35
36,8:42:00,637,17228,11776,9350,14839,1,CW,201.87,202.3660189,0.496018909,22.1233,22.7,36
37,8:42:00,613,17389,12165,9210,14451,1,CW,207.387,207.9028534,0.51585336,21.96001667,22.69916667,37
38,8:42:00,636,17493,12569,9093,14041,1,CW,213.111,213.515513,0.404513044,21.96001667,22.69916667,38
39,8:42:00,627,17559,12990,9022,13634,1,CW,218.754,219.1122306,0.358230617,21.96001667,22.69916667,39
40,8:42:01,625,17585,13397,9001,13215,1,CW,224.379,224.6472341,0.268234106,21.96001667,22.69916667,40
41,8:42:01,616,17573,13793,9017,12806,1,CW,229.923,230.0523504,0.129350361,21.79673333,22.69833333,41
42,8:42:01,624,17515,14206,9075,12409,1,CW,235.539,235.563823,0.024822977,21.79673333,22.69833333,42
43,8:42:02,636,17405,14616,9178,12001,1,CW,241.263,241.2838758,0.02087584,21.79673333,22.69833333,43
44,8:42:02,628,17267,14996,9325,11606,1,CW,246.915,246.8974335,-0.017566529,21.63345,22.6975,44
45,8:42:02,637,17086,15380,9510,11231,1,CW,252.648,252.6476656,-0.000334431,21.63345,22.6975,45
46,8:42:02,624,16865,15734,9724,10882,1,CW,258.264,258.3069415,0.042941524,21.63345,22.6975,46
47,8:42:03,633,16621,16068,9984,10546,1,CW,263.961,264.0586456,0.097645599,21.63345,22.6975,47
48,8:42:03,621,16299,16335,10246,10214,1,CW,269.55,269.8075682,0.257568173,21.47016667,22.69666667,48
49,8:42:03,632,16010,16648,10572,9956,1,CW,275.238,275.5762188,0.338218762,21.47016667,22.69666667,49
50,8:42:04,628,15675,16895,10913,9707,1,CW,280.89,281.3252666,0.435266624,21.47016667,22.69666667,50
51,8:42:04,623,15328,17099,11274,9492,1,CW,286.497,286.9502622,0.453262203,21.30688333,22.69583333,51
52,8:42:04,640,14946,17279,11653,9320,1,CW,292.257,292.6628134,0.40581337,21.30688333,22.69583333,52
53,8:42:05,623,14540,17412,12035,9181,1,CW,297.864,298.3192196,0.455219588,21.30688333,22.69583333,53
54,8:42:05,639,14138,17502,12446,9078,1,CW,303.615,303.9636499,0.34864985,21.1436,22.695,54
55,8:42:05,628,13733,17548,12854,9027,1,CW,309.267,309.4704861,0.20348611,21.1436,22.695,55
56,8:42:05,618,13330,17569,13258,9027,1,CW,314.829,314.8821112,0.053111213,21.1436,22.695,56
57,8:42:06,626,12914,17524,13663,9050,1,CW,320.463,320.3863852,-0.076614791,21.1436,22.695,57
58,8:42:06,629,12513,17454,14087,9126,1,CW,326.124,325.9724588,-0.151541181,20.98031667,22.69416667,58
59,8:42:06,636,12103,17337,14487,9247,1,CW,331.848,331.58979,-0.258209964,20.98031667,22.69416667,59
60,8:42:07,620,11712,17182,14872,9402,1,CW,337.428,337.1477484,-0.28025157,20.98031667,22.69416667,60
61,8:42:07,631,11329,16971,15254,9588,1,CW,343.107,342.8804278,-0.226572219,20.81703333,22.69333333,61
62,8:42:07,629,10974,16744,15619,9822,1,CW,348.768,348.5706761,-0.197323889,20.81703333,22.69333333,62
63,8:42:07,636,10623,16483,15952,10087,1,CW,354.492,354.3156625,-0.176337497,20.81703333,22.69333333,63
64,8:42:08,610,10316,16193,16264,10368,1,CW,359.982,359.9217164,-0.060283637,20.81703333,22.69333333,64
0,8:42:09,-2,10287,16139,16212,10333,1,CCW,359.964,359.9050756,-0.058924412,20.65375,22.6925,65
1,8:42:09,-584,10584,16413,15915,10055,1,CCW,354.708,354.4885405,-0.219459489,20.49046667,22.69166667,66
2,8:42:10,-637,10925,16691,15577,9801,1,CCW,348.975,348.7286613,-0.246338654,20.49046667,22.69166667,67
3,8:42:10,-626,11278,16915,15206,9566,1,CCW,343.341,343.0049264,-0.336073577,20.32718333,22.69083333,68
4,8:42:10,-633,11666,17111,14832,9368,1,CCW,337.644,337.278136,-0.365863978,20.32718333,22.69083333,69
5,8:42:11,-620,12055,17269,14451,9219,1,CCW,332.064,331.7426059,-0.321394106,20.32718333,22.69083333,70
6,8:42:11,-637,12438,17369,14020,9091,1,CCW,326.331,326.0877552,-0.243244831,20.1639,22.69,71
7,8:42:11,-628,12863,17471,13633,9022,1,CCW,320.679,320.5413864,-0.137613572,20.1639,22.69,72
8,8:42:12,-630,13273,17496,13218,8982,1,CCW,315.009,314.9949266,-0.014073362,20.1639,22.69,73
9,8:42:12,-619,13675,17494,12814,8998,1,CCW,309.438,309.574074,0.136074017,20.00061667,22.68916667,74
10,8:42:12,-623,14081,17449,12413,9053,1,CCW,303.831,304.0857839,0.254783927,20.00061667,22.68916667,75
11,8:42:12,-637,14489,17349,12011,9141,1,CCW,298.098,298.4494515,0.351451459,20.00061667,22.68916667,76
12,8:42:13,-624,14879,17222,11623,9280,1,CCW,292.482,292.8519429,0.369942895,20.00061667,22.68916667,77
13,8:42:13,-642,15257,17054,11237,9460,1,CCW,286.704,287.1140359,0.410035904,19.83733333,22.68833333,78
14,8:42:13,-623,15611,16840,10884,9664,1,CCW,281.097,281.4804093,0.383409323,19.83733333,22.68833333,79
15,8:42:14,-630,15963,16602,10554,9915,1,CCW,275.427,275.7095375,0.282537499,19.83733333,22.68833333,80
16,8:42:14,-628,16197,16250,10188,10149,1,CCW,269.775,269.9270774,0.15207745,19.67405,22.6875,81
17,8:42:14,-622,16547,16022,9952,10499,1,CCW,264.177,264.2491603,0.072160295,19.67405,22.6875,82
18,8:42:14,-632,16801,15689,9702,10825,1,CCW,258.489,258.5376483,0.048648283,19.67405,22.6875,83
19,8:42:15,-621,17022,15341,9486,11181,1,CCW,252.9,252.8457218,-0.05427818,19.67405,22.6875,84
20,8:42:15,-638,17206,14970,9297,11565,1,CCW,247.158,247.0802448,-0.077755201,19.51076667,22.68666667,85
21,8:42:15,-629,17344,14573,9152,11946,1,CCW,241.497,241.4339695,-0.063030501,19.51076667,22.68666667,86
22,8:42:16,-638,17466,14171,9054,12356,1,CCW,235.755,235.7224781,-0.032521868,19.51076667,22.68666667,87
23,8:42:16,-621,17514,13763,8987,12763,1,CCW,230.166,230.1619091,-0.004090922,19.34748333,22.68583333,88
24,8:42:16,-625,17526,13359,8967,13173,1,CCW,224.541,224.6777155,0.136715531,19.34748333,22.68583333,89
25,8:42:17,-617,17506,12948,8993,13572,1,CCW,218.988,219.2337641,0.245764132,19.34748333,22.68583333,90
26,8:42:17,-633,17450,12543,9064,13992,1,CCW,213.291,213.6506571,0.359657087,19.1842,22.685,91
27,8:42:17,-636,17331,12138,9171,14401,1,CCW,207.567,208.0164828,0.449482783,19.1842,22.685,92
28,8:42:17,-610,17180,11746,9314,14775,1,CCW,202.077,202.5482525,0.471252548,19.1842,22.685,93
29,8:42:18,-637,16993,11359,9511,15162,1,CCW,196.344,196.7912108,0.447210819,19.1842,22.685,94
30,8:42:18,-622,16766,11002,9728,15525,1,CCW,190.746,191.1553687,0.409368661,19.02091667,22.68416667,95
31,8:42:18,-631,16508,10661,9991,15877,1,CCW,185.067,185.3792614,0.312261383,19.02091667,22.68416667,96
32,8:42:19,-619,16221,10335,10277,16180,1,CCW,179.496,179.7105151,0.214515052,19.02091667,22.68416667,97
33,8:42:19,-610,15916,10048,10587,16466,1,CCW,174.006,174.1116587,0.105658661,18.85763333,22.68333333,98
34,8:42:19,-630,15570,9786,10926,16734,1,CCW,168.336,168.3464689,0.010468905,18.85763333,22.68333333,99
35,8:42:19,-620,15202,9553,11285,16952,1,CCW,162.756,162.6504396,-0.105560428,18.85763333,22.68333333,100
36,8:42:20,-627,14827,9355,11668,17143,1,CCW,157.113,156.9793794,-0.133620641,18.85763333,22.68333333,101
37,8:42:20,-614,14450,9207,12058,17309,1,CCW,151.587,151.4686323,-0.118367677,18.69435,22.6825,102
38,8:42:20,-630,14035,9088,12461,17423,1,CCW,145.917,145.8079285,-0.109071514,18.69435,22.6825,103
39,8:42:21,-620,13627,9001,12868,17484,1,CCW,140.337,140.2869068,-0.050093172,18.69435,22.6825,104
40,8:42:21,-621,13210,8962,13273,17507,1,CCW,134.748,134.7785571,0.030557095,18.53106667,22.68166667,105
41,8:42:21,-610,12812,8983,13682,17515,1,CCW,129.258,129.3723349,0.114334869,18.53106667,22.68166667,106
42,8:42:22,-619,12411,9035,14095,17464,1,CCW,123.687,123.8568777,0.16987774,18.53106667,22.68166667,107
43,8:42:22,-631,12007,9120,14498,17359,1,CCW,118.008,118.2602933,0.252293335,18.36778333,22.68083333,108
44,8:42:22,-617,11618,9255,14885,17231,1,CCW,112.455,112.7073562,0.252356242,18.36778333,22.68083333,109
45,8:42:22,-634,11227,9426,15256,17044,1,CCW,106.749,106.9774745,0.228474539,18.36778333,22.68083333,110
46,8:42:23,-612,10875,9631,15613,16830,1,CCW,101.241,101.3508992,0.109899246,18.36778333,22.68083333,111
47,8:42:23,-625,10545,9877,15954,16590,1,CCW,95.616,95.67589501,0.059895007,18.2045,22.68,112
48,8:42:23,-623,10223,10152,16255,16307,1,CCW,90.009,89.93766336,-0.071336639,18.2045,22.68,113
49,8:42:24,-611,9951,10453,16541,16014,1,CCW,84.51,84.34459116,-0.165408837,18.2045,22.68,114
50,8:42:24,-627,9704,10783,16803,15679,1,CCW,78.867,78.60373478,-0.263265221,18.04121667,22.67916667,115
51,8:42:24,-614,9477,11123,17004,15323,1,CCW,73.341,73.01283407,-0.328165934,18.04121667,22.67916667,116
52,8:42:24,-628,9288,11504,17187,14952,1,CCW,67.689,67.28817759,-0.400822405,18.04121667,22.67916667,117
53,8:42:25,-625,9154,11892,17340,14563,1,CCW,62.064,61.65721241,-0.406787587,18.04121667,22.67916667,118
54,8:42:25,-632,9052,12294,17448,14161,1,CCW,56.376,56.03057808,-0.345421921,17.87793333,22.67833333,119
55,8:42:25,-615,8983,12694,17497,13758,1,CCW,50.841,50.55734678,-0.283653221,17.87793333,22.67833333,120
56,8:42:26,-623,8971,13110,17523,13352,1,CCW,45.234,45.02730733,-0.206692669,17.87793333,22.67833333,121
57,8:42:26,-614,9001,13507,17502,12943,1,CCW,39.708,39.61717282,-0.090827177,17.71465,22.6775,122
58,8:42:26,-627,9062,13921,17429,12538,1,CCW,34.065,34.06858896,0.003588957,17.71465,22.6775,123
59,8:42:27,-630,9172,14334,17327,12143,1,CCW,28.395,28.49174012,0.096740121,17.71465,22.6775,124
60,8:42:27,-611,9318,14712,17180,11751,1,CCW,22.896,22.99899217,0.102992172,17.55136667,22.67666667,125
61,8:42:27,-640,9512,15099,16991,11365,1,CCW,17.136,17.24587732,0.109877318,17.55136667,22.67666667,126
62,8:42:27,-625,9733,15467,16765,11012,1,CCW,11.511,11.58440721,0.073407212,17.55136667,22.67666667,127
63,8:42:28,-631,9987,15811,16505,10664,1,CCW,5.832,5.82695657,-0.00504343,17.55136667,22.67666667,128
64,8:42:29,-624,10276,16124,16220,10341,1,CCW,0.216,0.103655211,-0.112344789,17.38808333,22.67583333,129
0,8:42:33,14,10318,16183,16263,10374,2,CW,0.126,-0.066666121,-0.192666121,17.2248,22.675,130
1,8:42:33,586,10037,15883,16538,10681,2,CW,5.4,5.418587182,0.018587182,16.57166667,22.67166667,131
2,8:42:33,623,9782,15541,16805,11015,2,CW,11.007,11.1029158,0.095915798,16.57166667,22.67166667,132
3,8:42:34,631,9558,15176,17037,11383,2,CW,16.686,16.84493112,0.158931117,16.57166667,22.67166667,133
4,8:42:34,632,9360,14794,17222,11767,2,CW,22.374,22.53912299,0.165122986,16.40838333,22.67083333,134
5,8:42:34,619,9214,14401,17375,12153,2,CW,27.945,28.08772157,0.142721568,16.40838333,22.67083333,135
6,8:42:35,630,9102,13983,17485,12553,2,CW,33.615,33.73007627,0.115076273,16.40838333,22.67083333,136
7,8:42:35,625,9026,13579,17551,12967,2,CW,39.24,39.26253205,0.022532047,16.2451,22.67,137
8,8:42:35,633,9001,13171,17582,13388,2,CW,44.937,44.81036521,-0.126634791,16.2451,22.67,138
9,8:42:36,607,9020,12759,17566,13781,2,CW,50.4,50.20794543,-0.192054569,16.2451,22.67,139
10,8:42:36,619,9075,12352,17500,14182,2,CW,55.971,55.70285798,-0.268142025,16.08181667,22.66916667,140
11,8:42:36,623,9171,11957,17403,14592,2,CW,61.578,61.28877477,-0.289225229,16.08181667,22.66916667,141
12,8:42:36,625,9314,11566,17262,14971,2,CW,67.203,66.84795108,-0.355048919,16.08181667,22.66916667,142
13,8:42:37,635,9503,11191,17087,15352,2,CW,72.918,72.5529503,-0.365049701,16.08181667,22.66916667,143
14,8:42:37,607,9715,10849,16871,15713,2,CW,78.381,78.16480222,-0.216197776,15.91853333,22.66833333,144
15,8:42:37,635,9963,10509,16615,16044,2,CW,84.096,83.89766333,-0.198336666,15.91853333,22.66833333,145
16,8:42:38,627,10250,10195,16332,16348,2,CW,89.739,89.6462026,-0.0927974,15.91853333,22.66833333,146
17,8:42:38,611,10558,9928,16027,16629,2,CW,95.238,95.26741164,0.02941164,15.75525,22.6675,147
18,8:42:38,617,10883,9683,15685,16873,2,CW,100.791,100.914382,0.123381984,15.75525,22.6675,148
19,8:42:38,620,11243,9467,15334,17083,2,CW,106.371,106.5597738,0.188773783,15.75525,22.6675,149
20,8:42:39,629,11630,9291,14960,17269,2,CW,112.032,112.2783191,0.246319148,15.75525,22.6675,150
21,8:42:39,620,12012,9162,14569,17415,2,CW,117.612,117.821451,0.209450994,15.59196667,22.66666667,151
22,8:42:39,633,12428,9070,14168,17520,2,CW,123.309,123.4744917,0.165491694,15.59196667,22.66666667,152
23,8:42:40,609,12830,9008,13765,17560,2,CW,128.79,128.9106802,0.120680174,15.59196667,22.66666667,153
24,8:42:40,631,13243,9002,13348,17585,2,CW,134.469,134.4568648,-0.012135164,15.42868333,22.66583333,154
25,8:42:40,607,13642,9035,12935,17556,2,CW,139.932,139.8751212,-0.056878804,15.42868333,22.66583333,155
26,8:42:41,625,14064,9110,12533,17487,2,CW,145.557,145.4297723,-0.127227709,15.42868333,22.66583333,156
27,8:42:41,617,14468,9221,12123,17369,2,CW,151.11,151.0363784,-0.073621562,15.2654,22.665,157
28,8:42:41,618,14855,9382,11732,17227,2,CW,156.672,156.5684899,-0.103510138,15.2654,22.665,158
29,8:42:41,635,15241,9575,11351,17030,2,CW,162.387,162.2699917,-0.11700835,15.2654,22.665,159
30,8:42:42,617,15603,9801,10990,16799,2,CW,167.94,167.9420478,0.00204778,15.2654,22.665,160
31,8:42:42,633,15951,10074,10643,16546,2,CW,173.637,173.7262976,0.089297578,15.10211667,22.66416667,161
32,8:42:42,619,16259,10362,10323,16254,2,CW,179.208,179.4014621,0.193462129,15.10211667,22.66416667,162
33,8:42:43,612,16552,10672,10043,15939,2,CW,184.716,185.0325979,0.316597882,15.10211667,22.66416667,163
34,8:42:43,625,16815,11017,9782,15602,2,CW,190.341,190.7425722,0.401572163,14.93883333,22.66333333,164
35,8:42:43,626,17027,11377,9546,15236,2,CW,195.975,196.4085526,0.433552638,14.93883333,22.66333333,165
36,8:42:43,629,17230,11765,9362,14855,2,CW,201.636,202.1275662,0.491566216,14.93883333,22.66333333,166
37,8:42:44,620,17386,12150,9212,14464,2,CW,207.216,207.6685698,0.452569827,14.93883333,22.66333333,167
38,8:42:44,633,17498,12566,9097,14061,2,CW,212.913,213.3209687,0.407968687,14.77555,22.6625,168
39,8:42:44,626,17554,12966,9022,13643,2,CW,218.547,218.8463098,0.299309822,14.77555,22.6625,169
40,8:42:45,637,17593,13386,9004,13230,2,CW,224.28,224.430123,0.150122987,14.77555,22.6625,170
41,8:42:45,609,17582,13793,9019,12829,2,CW,229.761,229.8524212,0.091421248,14.61226667,22.66166667,171
42,8:42:45,628,17514,14199,9071,12422,2,CW,235.413,235.3877721,-0.025227881,14.61226667,22.66166667,172
43,8:42:46,630,17414,14599,9174,12010,2,CW,241.083,241.0505302,-0.032469783,14.61226667,22.66166667,173
44,8:42:46,625,17286,14986,9323,11627,2,CW,246.708,246.6095745,-0.09842546,14.44898333,22.66083333,174
45,8:42:46,643,17083,15363,9497,11243,2,CW,252.495,252.4040092,-0.0909908,14.44898333,22.66083333,175
46,8:42:46,618,16879,15726,9717,10896,2,CW,258.057,258.0650348,0.008034824,14.44898333,22.66083333,176
47,8:42:47,636,16632,16060,9980,10553,2,CW,263.781,263.8776002,0.096600189,14.44898333,22.66083333,177
48,8:42:47,630,16310,16335,10237,10224,2,CW,269.451,269.6252871,0.174287117,14.2857,22.66,178
49,8:42:47,621,16023,16640,10560,9966,2,CW,275.04,275.3288945,0.288894458,14.2857,22.66,179
50,8:42:48,624,15686,16883,10898,9714,2,CW,280.656,281.0682028,0.41220281,14.2857,22.66,180
51,8:42:48,624,15341,17093,11257,9500,2,CW,286.272,286.687154,0.415154048,14.12241667,22.65916667,181
52,8:42:48,637,14957,17279,11636,9328,2,CW,292.005,292.4276818,0.422681767,14.12241667,22.65916667,182
53,8:42:48,627,14565,17410,12024,9188,2,CW,297.648,298.0287682,0.380768196,14.12241667,22.65916667,183
54,8:42:49,638,14160,17501,12437,9083,2,CW,303.39,303.7100305,0.320030461,14.12241667,22.65916667,184
55,8:42:49,619,13754,17556,12835,9035,2,CW,308.961,309.1611546,0.200154627,13.95913333,22.65833333,185
56,8:42:49,639,13329,17563,13243,9022,2,CW,314.712,314.7448143,0.032814342,13.95913333,22.65833333,186
57,8:42:50,616,12931,17529,13652,9048,2,CW,320.256,320.1511998,-0.104800154,13.95913333,22.65833333,187
58,8:42:50,627,12525,17449,14064,9120,2,CW,325.899,325.6958376,-0.203162446,13.79585,22.6575,188
59,8:42:50,629,12120,17342,14469,9244,2,CW,331.56,331.3038092,-0.256190842,13.79585,22.6575,189
60,8:42:51,625,11731,17196,14864,9394,2,CW,337.185,336.8779431,-0.307056901,13.79585,22.6575,190
61,8:42:51,636,11347,16986,15244,9581,2,CW,342.909,342.5979092,-0.311090829,13.63256667,22.65666667,191
62,8:42:51,623,10985,16758,15601,9812,2,CW,348.516,348.2713864,-0.244613614,13.63256667,22.65666667,192
63,8:42:51,639,10634,16488,15939,10076,2,CW,354.267,354.0742477,-0.192752264,13.63256667,22.65666667,193
64,8:42:52,623,10325,16194,16259,10360,2,CW,359.874,359.7630687,-0.110931282,13.63256667,22.65666667,194
0,8:42:55,-2,10285,16141,16210,10334,2,CCW,359.856,359.8496443,-0.006355679,13.46928333,22.65583333,195
1,8:42:55,-585,10589,16417,15920,10058,2,CCW,354.591,354.4337465,-0.15725352,12.98203279,22.6512623,196
2,8:42:56,-637,10924,16683,15573,9798,2,CCW,348.858,348.6807109,-0.177289103,12.98203279,22.6512623,197
3,8:42:56,-625,11273,16916,15206,9567,2,CCW,343.233,342.9849381,-0.248061931,12.82004918,22.64939344,198
4,8:42:56,-631,11660,17114,14833,9369,2,CCW,337.554,337.2677765,-0.286223502,12.82004918,22.64939344,199
5,8:42:57,-623,12056,17274,14456,9218,2,CCW,331.947,331.7092506,-0.237749406,12.82004918,22.64939344,200
6,8:42:57,-634,12430,17357,14011,9082,2,CCW,326.241,326.0387312,-0.20226883,12.65806557,22.64752459,201
7,8:42:57,-629,12859,17465,13629,9021,2,CCW,320.58,320.4995224,-0.08047761,12.65806557,22.64752459,202
8,8:42:58,-629,13278,17504,13226,8988,2,CCW,314.919,314.971525,0.052525007,12.65806557,22.64752459,203
9,8:42:58,-615,13674,17493,12818,8997,2,CCW,309.384,309.5653098,0.181309828,12.49608197,22.64565574,204
10,8:42:58,-629,14079,17452,12410,9052,2,CCW,303.723,304.0434234,0.320423439,12.49608197,22.64565574,205
11,8:42:58,-637,14488,17353,12007,9141,2,CCW,297.99,298.3980617,0.408061663,12.49608197,22.64565574,206
12,8:42:59,-626,14882,17218,11623,9276,2,CCW,292.356,292.7944278,0.438427751,12.49608197,22.64565574,207
13,8:42:59,-640,15258,17049,11235,9459,2,CCW,286.596,287.0454877,0.449487701,12.33409836,22.64378689,208
14,8:42:59,-623,15605,16841,10880,9664,2,CCW,280.989,281.4587929,0.469792889,12.33409836,22.64378689,209
15,8:43:00,-631,15956,16599,10552,9914,2,CCW,275.31,275.6913276,0.381327614,12.33409836,22.64378689,210
16,8:43:00,-626,16191,16244,10186,10143,2,CCW,269.676,269.9107318,0.23473181,12.17211475,22.64191803,211
17,8:43:00,-620,16546,16022,9951,10499,2,CCW,264.096,264.2130493,0.117049339,12.17211475,22.64191803,212
18,8:43:00,-633,16808,15693,9702,10832,2,CCW,258.399,258.4570274,0.058027426,12.17211475,22.64191803,213
19,8:43:01,-624,17028,15340,9488,11181,2,CCW,252.783,252.789525,0.00652496,12.17211475,22.64191803,214
20,8:43:01,-636,17210,14968,9297,11564,2,CCW,247.059,247.0254564,-0.033543637,12.01013115,22.64004918,215
21,8:43:01,-631,17342,14573,9147,11948,2,CCW,241.38,241.3761134,-0.00388659,12.01013115,22.64004918,216
22,8:43:02,-636,17456,14166,9048,12352,2,CCW,235.656,235.6818065,0.025806492,12.01013115,22.64004918,217
23,8:43:02,-623,17515,13760,8985,12755,2,CCW,230.049,230.1520398,0.10303978,11.84814754,22.63818033,218
24,8:43:02,-623,17534,13358,8967,13175,2,CCW,224.442,224.6141488,0.17214881,11.84814754,22.63818033,219
25,8:43:03,-620,17501,12949,8992,13576,2,CCW,218.862,219.1682446,0.306244628,11.84814754,22.63818033,220
26,8:43:03,-631,17449,12543,9067,13988,2,CCW,213.183,213.6276789,0.444678945,11.68616393,22.63631148,221
27,8:43:03,-635,17327,12134,9167,14394,2,CCW,207.468,207.9898052,0.521805238,11.68616393,22.63631148,222
28,8:43:03,-610,17177,11751,9311,14778,2,CCW,201.978,202.5136783,0.535678341,11.68616393,22.63631148,223
29,8:43:04,-640,16998,11363,9510,15165,2,CCW,196.218,196.7673129,0.549312889,11.68616393,22.63631148,224
30,8:43:04,-621,16768,10994,9730,15519,2,CCW,190.629,191.0954717,0.466471749,11.52418033,22.63444262,225
31,8:43:04,-631,16504,10657,9989,15874,2,CCW,184.95,185.3165203,0.36652026,11.52418033,22.63444262,226
32,8:43:05,-617,16219,10339,10276,16183,2,CCW,179.397,179.6611088,0.264108823,11.52418033,22.63444262,227
33,8:43:05,-611,15917,10051,10589,16465,2,CCW,173.898,174.0740296,0.176029626,11.36219672,22.63257377,228
34,8:43:05,-629,15571,9787,10924,16729,2,CCW,168.237,168.3359695,0.098969489,11.36219672,22.63257377,229
35,8:43:05,-621,15205,9555,11280,16955,2,CCW,162.648,162.6456112,-0.002388768,11.36219672,22.63257377,230
36,8:43:06,-626,14834,9358,11670,17151,2,CCW,157.014,156.949624,-0.064375976,11.36219672,22.63257377,231
37,8:43:06,-614,14447,9202,12059,17303,2,CCW,151.488,151.3976676,-0.090332392,11.20021311,22.63070492,232
38,8:43:06,-632,14036,9087,12462,17426,2,CCW,145.8,145.7567215,-0.04327852,11.20021311,22.63070492,233
39,8:43:07,-620,13625,9007,12869,17491,2,CCW,140.22,140.221155,0.001155021,11.20021311,22.63070492,234
40,8:43:07,-622,13210,8962,13278,17507,2,CCW,134.622,134.7010042,0.079004153,11.03822951,22.62883607,235
41,8:43:07,-606,12817,8979,13683,17511,2,CCW,129.168,129.35605,0.188049954,11.03822951,22.62883607,236
42,8:43:08,-621,12406,9032,14090,17466,2,CCW,123.579,123.8216529,0.242652894,11.03822951,22.62883607,237
43,8:43:08,-631,12003,9122,14499,17362,2,CCW,117.9,118.1891043,0.289104289,10.8762459,22.62696721,238
44,8:43:08,-617,11620,9253,14887,17227,2,CCW,112.347,112.6622974,0.315297425,10.8762459,22.62696721,239
45,8:43:08,-633,11227,9427,15257,17044,2,CCW,106.65,106.9291456,0.279145594,10.8762459,22.62696721,240
46,8:43:09,-613,10873,9632,15608,16832,2,CCW,101.133,101.333257,0.200256993,10.8762459,22.62696721,241
47,8:43:09,-625,10547,9875,15956,16587,2,CCW,95.508,95.63341277,0.125412768,10.7142623,22.62509836,242
48,8:43:09,-624,10228,10152,16263,16310,2,CCW,89.892,89.89935031,0.007350315,10.7142623,22.62509836,243
