cycle,encoder_error_cw,encoder_error_ccw
3083,16775013.0,16775012.0
3084,16775019.0,16775021.0
3085,16775019.0,16775018.0
3086,16775017.0,16775021.0
3087,16775017.0,16775018.0
3088,16775021.0,16775021.0
3089,16775015.0,16775018.0
3090,16775010.0,16775011.0
3091,16775011.0,16775012.0
3092,16775016.0,16775020.0
3093,16775025.0,16775025.0
3094,16775025.0,16775028.0
3095,16775026.0,16775028.0
3096,16775026.0,16775028.0
3097,16775020.0,16775021.0
3098,16775026.0,16775025.0
3099,16775023.0,16775025.0
3100,16775028.0,16775025.0
3101,16775020.0,16775021.0
3102,16775019.0,16775020.0
3103,16775028.0,16775032.0
3104,16775034.0,16775031.0
3105,16775031.0,16775034.0
3106,16775028.0,16775026.0
3107,16775019.0,16775019.0
3108,16775026.0,16775025.0
3109,16775025.0,16775028.0
3110,16775022.0,16775026.0
3111,16775027.0,16775031.0
3112,16775038.0,16775035.0
3113,16775042.0,16775036.0
3114,16775036.0,16775036.0
3115,16775040.0,16775036.0
3116,16775042.0,16775038.0
3117,16775047.0,16775037.0
3118,16775046.0,16775038.0
3119,16775042.0,16775037.0
3120,16775041.0,16775036.0
3121,16775040.0,16775037.0
3122,16775046.0,16775036.0
3123,16775039.0,16775036.0
3124,16775033.0,16775031.0
3125,16775033.0,16775034.0
3126,16775028.0,16775031.0
3127,16775030.0,16775031.0
3128,16775039.0,16775036.0
3129,16775042.0,16775037.0
3130,16775043.0,16775037.0
3131,16775049.0,16775040.0
3132,16775045.0,16775038.0
3133,16775049.0,16775037.0
3134,16775042.0,16775038.0
3135,16775039.0,16775036.0
3136,16775032.0,16775032.0
3137,16775033.0,16775032.0
3138,16775026.0,16775027.0
3139,16775026.0,16775028.0
3140,16775031.0,16775034.0
3141,16775032.0,16775034.0
3142,16775036.0,16775034.0
3143,16775030.0,16775026.0
3144,16775027.0,16775029.0
3145,16775024.0,16775018.0
3146,16775015.0,16775011.0
3147,16775017.0,16775021.0
3148,16775025.0,16775028.0
3149,16775030.0,16775031.0
3150,16775029.0,16775025.0
3151,16775027.0,16775025.0
3152,16775032.0,16775031.0
3153,16775032.0,16775031.0
3154,16775026.0,16775025.0
3155,16775019.0,16775018.0
3156,16775022.0,16775024.0
3157,16775021.0,16775018.0
3158,16775016.0,16775018.0
3159,16775020.0,16775021.0
3160,16775026.0,16775025.0
3161,16775029.0,16775031.0
3162,16775032.0,16775031.0
3163,16775032.0,16775033.0
3164,16775033.0,16775032.0
3165,16775030.0,16775031.0
3166,16775026.0,16775026.0
3167,16775021.0,16775019.0
3168,16775026.0,16775026.0
3169,16775019.0,16775019.0
3170,16775018.0,16775021.0
3171,16775020.0,16775019.0
3172,16775022.0,16775026.0
3173,16775030.0,16775032.0
3174,16775033.0,16775034.0
3175,16775027.0,16775032.0
3176,16775031.0,16775033.0
3177,16775038.0,16775037.0
3178,16775034.0,16775032.0
3179,16775030.0,16775035.0
3180,16775040.0,16775036.0
